# config_file	system_size	temperature
regime0_1RC7_300K_rep00.namd	small	300
regime0_1RC7_300K_rep01.namd	small	300
regime0_1RC7_300K_rep02.namd	small	300
regime0_1RC7_300K_rep03.namd	small	300
regime0_1RC7_300K_rep04.namd	small	300
regime0_1RC7_300K_rep05.namd	small	300
regime0_1RC7_300K_rep06.namd	small	300
regime0_1RC7_300K_rep07.namd	small	300
regime0_1RC7_300K_rep08.namd	small	300
regime0_1RC7_300K_rep09.namd	small	300
regime0_1RC7_350K_rep00.namd	small	350
regime0_1RC7_350K_rep01.namd	small	350
regime0_1RC7_350K_rep02.namd	small	350
regime0_1RC7_350K_rep03.namd	small	350
regime0_1RC7_350K_rep04.namd	small	350
regime0_1RC7_350K_rep05.namd	small	350
regime0_1RC7_350K_rep06.namd	small	350
regime0_1RC7_350K_rep07.namd	small	350
regime0_1RC7_350K_rep08.namd	small	350
regime0_1RC7_350K_rep09.namd	small	350
regime1_1A60_300K_rep00.namd	small	300
regime1_1A60_300K_rep01.namd	small	300
regime1_1A60_300K_rep02.namd	small	300
regime1_1A60_300K_rep03.namd	small	300
regime1_1A60_300K_rep04.namd	small	300
regime1_1A60_300K_rep05.namd	small	300
regime1_1A60_300K_rep06.namd	small	300
regime1_1A60_300K_rep07.namd	small	300
regime1_1A60_300K_rep08.namd	small	300
regime1_1A60_300K_rep09.namd	small	300
regime1_1A60_350K_rep00.namd	small	350
regime1_1A60_350K_rep01.namd	small	350
regime1_1A60_350K_rep02.namd	small	350
regime1_1A60_350K_rep03.namd	small	350
regime1_1A60_350K_rep04.namd	small	350
regime1_1A60_350K_rep05.namd	small	350
regime1_1A60_350K_rep06.namd	small	350
regime1_1A60_350K_rep07.namd	small	350
regime1_1A60_350K_rep08.namd	small	350
regime1_1A60_350K_rep09.namd	small	350
regime2_165D_300K_rep00.namd	tiny	300
regime2_165D_300K_rep01.namd	tiny	300
regime2_165D_300K_rep02.namd	tiny	300
regime2_165D_300K_rep03.namd	tiny	300
regime2_165D_300K_rep04.namd	tiny	300
regime2_165D_300K_rep05.namd	tiny	300
regime2_165D_300K_rep06.namd	tiny	300
regime2_165D_300K_rep07.namd	tiny	300
regime2_165D_300K_rep08.namd	tiny	300
regime2_165D_300K_rep09.namd	tiny	300
regime2_165D_350K_rep00.namd	tiny	350
regime2_165D_350K_rep01.namd	tiny	350
regime2_165D_350K_rep02.namd	tiny	350
regime2_165D_350K_rep03.namd	tiny	350
regime2_165D_350K_rep04.namd	tiny	350
regime2_165D_350K_rep05.namd	tiny	350
regime2_165D_350K_rep06.namd	tiny	350
regime2_165D_350K_rep07.namd	tiny	350
regime2_165D_350K_rep08.namd	tiny	350
regime2_165D_350K_rep09.namd	tiny	350
regime3_1K8W_300K_rep00.namd	tiny	300
regime3_1K8W_300K_rep01.namd	tiny	300
regime3_1K8W_300K_rep02.namd	tiny	300
regime3_1K8W_300K_rep03.namd	tiny	300
regime3_1K8W_300K_rep04.namd	tiny	300
regime3_1K8W_300K_rep05.namd	tiny	300
regime3_1K8W_300K_rep06.namd	tiny	300
regime3_1K8W_300K_rep07.namd	tiny	300
regime3_1K8W_300K_rep08.namd	tiny	300
regime3_1K8W_300K_rep09.namd	tiny	300
regime3_1K8W_350K_rep00.namd	tiny	350
regime3_1K8W_350K_rep01.namd	tiny	350
regime3_1K8W_350K_rep02.namd	tiny	350
regime3_1K8W_350K_rep03.namd	tiny	350
regime3_1K8W_350K_rep04.namd	tiny	350
regime3_1K8W_350K_rep05.namd	tiny	350
regime3_1K8W_350K_rep06.namd	tiny	350
regime3_1K8W_350K_rep07.namd	tiny	350
regime3_1K8W_350K_rep08.namd	tiny	350
regime3_1K8W_350K_rep09.namd	tiny	350
regime4_1LNG_300K_rep00.namd	medium	300
regime4_1LNG_300K_rep01.namd	medium	300
regime4_1LNG_300K_rep02.namd	medium	300
regime4_1LNG_300K_rep03.namd	medium	300
regime4_1LNG_300K_rep04.namd	medium	300
regime4_1LNG_300K_rep05.namd	medium	300
regime4_1LNG_300K_rep06.namd	medium	300
regime4_1LNG_300K_rep07.namd	medium	300
regime4_1LNG_300K_rep08.namd	medium	300
regime4_1LNG_300K_rep09.namd	medium	300
regime4_1LNG_350K_rep00.namd	medium	350
regime4_1LNG_350K_rep01.namd	medium	350
regime4_1LNG_350K_rep02.namd	medium	350
regime4_1LNG_350K_rep03.namd	medium	350
regime4_1LNG_350K_rep04.namd	medium	350
regime4_1LNG_350K_rep05.namd	medium	350
regime4_1LNG_350K_rep06.namd	medium	350
regime4_1LNG_350K_rep07.namd	medium	350
regime4_1LNG_350K_rep08.namd	medium	350
regime4_1LNG_350K_rep09.namd	medium	350
regime5_1E7K_300K_rep00.namd	small	300
regime5_1E7K_300K_rep01.namd	small	300
regime5_1E7K_300K_rep02.namd	small	300
regime5_1E7K_300K_rep03.namd	small	300
regime5_1E7K_300K_rep04.namd	small	300
regime5_1E7K_300K_rep05.namd	small	300
regime5_1E7K_300K_rep06.namd	small	300
regime5_1E7K_300K_rep07.namd	small	300
regime5_1E7K_300K_rep08.namd	small	300
regime5_1E7K_300K_rep09.namd	small	300
regime5_1E7K_350K_rep00.namd	small	350
regime5_1E7K_350K_rep01.namd	small	350
regime5_1E7K_350K_rep02.namd	small	350
regime5_1E7K_350K_rep03.namd	small	350
regime5_1E7K_350K_rep04.namd	small	350
regime5_1E7K_350K_rep05.namd	small	350
regime5_1E7K_350K_rep06.namd	small	350
regime5_1E7K_350K_rep07.namd	small	350
regime5_1E7K_350K_rep08.namd	small	350
regime5_1E7K_350K_rep09.namd	small	350
regime6_1KXK_300K_rep00.namd	medium	300
regime6_1KXK_300K_rep01.namd	medium	300
regime6_1KXK_300K_rep02.namd	medium	300
regime6_1KXK_300K_rep03.namd	medium	300
regime6_1KXK_300K_rep04.namd	medium	300
regime6_1KXK_300K_rep05.namd	medium	300
regime6_1KXK_300K_rep06.namd	medium	300
regime6_1KXK_300K_rep07.namd	medium	300
regime6_1KXK_300K_rep08.namd	medium	300
regime6_1KXK_300K_rep09.namd	medium	300
regime6_1KXK_350K_rep00.namd	medium	350
regime6_1KXK_350K_rep01.namd	medium	350
regime6_1KXK_350K_rep02.namd	medium	350
regime6_1KXK_350K_rep03.namd	medium	350
regime6_1KXK_350K_rep04.namd	medium	350
regime6_1KXK_350K_rep05.namd	medium	350
regime6_1KXK_350K_rep06.namd	medium	350
